District,Block,Total_Schools,Growth_Schools,Decline_Schools,Recovery_Schools,Volatile_Schools,Low_Continuity_Schools,Wide_Enroll_Spread_Schools,Girls_Declining_Schools,Avg_Growth_pct,Avg_Continuity_8_9,Avg_Girls_Ratio,Block_Zone,Priority_Action_Flag
CHANDAULI,NAUGARH,7,2,1,3,3,0,0,4,8.21,570.34,0.507,YELLOW,False
CHANDAULI,SAKALDIHA,1,0,0,0,0,0,0,0,23.18,570.34,1.0,YELLOW,False
CHANDAULI,SHAHABGANJ,4,1,0,0,1,0,0,2,0.46,570.34,0.452,YELLOW,False
CHITRAKOOT,CHITRAKOOT,5,1,0,3,0,0,0,2,-3.75,570.34,0.566,YELLOW,False
CHITRAKOOT,CHITRAKOOT (URBAN),1,0,0,0,0,0,0,0,6.59,570.34,1.0,YELLOW,False
CHITRAKOOT,MANIKPUR,6,1,1,1,3,0,0,3,7.9,570.34,0.578,YELLOW,False
CHITRAKOOT,MAU,6,0,0,3,3,0,0,2,17.26,570.34,0.519,YELLOW,False
CHITRAKOOT,PAHADI,9,1,0,4,6,0,1,2,25.76,570.34,0.566,YELLOW,False
CHITRAKOOT,RAM NAGAR,2,0,0,1,0,0,0,2,-7.52,570.34,0.754,ORANGE,True
DEORIA,BARAHAJ,3,1,1,0,2,0,0,1,9.62,570.34,0.608,ORANGE,True
DEORIA,BHATNI,1,0,0,0,0,0,0,1,-24.14,570.34,0.455,RED,True
DEORIA,BHATPAR RANI,1,0,0,0,1,0,0,0,,570.34,1.0,YELLOW,False
DEORIA,BHLUANI,1,1,0,0,1,0,0,0,,570.34,0.434,GREEN,False
DEORIA,DEORIA NAGAR KSHETRA,2,0,0,2,0,0,0,1,7.32,570.34,0.678,YELLOW,False
DEORIA,DESAHI DEORIA,1,1,0,0,1,0,0,0,414.29,570.34,0.377,GREEN,False
DEORIA,GAURI BAZAR,3,1,0,2,2,0,0,2,31.23,570.34,0.762,YELLOW,False
DEORIA,LAR,1,0,0,1,1,0,0,1,-4.17,570.34,0.652,YELLOW,False
DEORIA,PATTHRDEVA,2,0,2,0,2,0,0,2,-49.66,570.34,0.506,RED,True
