District,Block,Cluster_Type,Total_Schools_In_Block,Declining_Schools,Growing_Schools,Recovery_Schools
HATHRAS,HASAYAN,Recovery Cluster,3,0,0,3
HATHRAS,HATHRAS,Mixed Block,2,0,0,2
HATHRAS,MURSAN,Mixed Block,2,0,2,0
HATHRAS,N.P. HATHRAS,Isolated Growth,1,0,1,0
HATHRAS,SADABAD,Mixed Block,5,0,2,2
HATHRAS,SAHPAU,Mixed Block,4,0,1,1
HATHRAS,SASNI,Mixed Block,3,0,0,1
HATHRAS,SIKANDRA RAO,Mixed Block,3,0,0,0
JALAUN,DAKOR,Mixed Block,6,0,1,2
JALAUN,JALAUN,Mixed Block,1,0,0,1
JALAUN,KADAURA,Mixed Block,4,1,0,0
JALAUN,KONCH,Mixed Block,1,0,0,1
JALAUN,KUTHAUND,Mixed Block,2,0,0,2
JALAUN,MADHAUGADH,Mixed Block,1,0,0,0
JALAUN,MAHEVA,Mixed Block,6,1,0,2
JALAUN,NADIGAWN,Mixed Block,2,0,1,1
JALAUN,RAMPURA,Mixed Block,3,0,2,1
JALAUN,T. A. ORAI,Mixed Block,2,0,0,1
JAUNPUR,BADLA PUR,Mixed Block,2,0,0,2
JAUNPUR,BARSATHI,Mixed Block,1,0,0,1
JAUNPUR,BUKSHA,Mixed Block,1,0,0,1
JAUNPUR,DHARMAPUR,Mixed Block,1,0,0,1
JAUNPUR,DOBHI,Mixed Block,1,0,0,1
JAUNPUR,JALALPUR,Mixed Block,1,0,0,0
JAUNPUR,JAUNPUR  [NAGAR],Isolated Growth,1,0,1,0
JAUNPUR,KARANJA KALA,Mixed Block,2,1,0,1
JAUNPUR,KERAKAT,Mixed Block,2,0,1,1
JAUNPUR,KHUTHAN,Mixed Block,1,0,0,1
JAUNPUR,MACHHALI SHAHAR,Mixed Block,2,0,1,1
JAUNPUR,MADIYAHUN,Mixed Block,2,0,1,0
JAUNPUR,MAHARAJ GANJ,Mixed Block,1,0,0,1
JAUNPUR,MUFTI GANJ,Mixed Block,1,0,0,1
