District,Block,Avg_Continuation_Ratio,Senior_Dropout_Schools,Senior_Collapse_Schools,Both_Growing_Schools
KANPUR NAGAR,PREMNAGAR,91.2,0,0,2
KANPUR NAGAR,SARSAUL,38.3,0,1,0
KANPUR NAGAR,SHASTRI NAGAR,124.8,1,0,0
KANPUR NAGAR,SHIVRAJPUR,0.0,0,1,0
KANSHIRAM NAGAR,AMAPUR,35.8,0,1,1
KANSHIRAM NAGAR,GANJ DUNDWARA,28.7,0,2,0
KANSHIRAM NAGAR,KASGANJ,0.0,0,1,0
KANSHIRAM NAGAR,KASGANJ (URBAN),86.3,0,0,0
KANSHIRAM NAGAR,PATIYALI,54.1,0,1,1
KANSHIRAM NAGAR,SAHAVAR,55.3,0,0,1
KANSHIRAM NAGAR,SORON,41.4,0,1,1
KAUSHAMBI,CHAYAL,0.0,0,1,0
KAUSHAMBI,KADA,35.9,0,1,2
KAUSHAMBI,KAUSHAMBI,0.0,0,2,0
KAUSHAMBI,MANJHANPUR,13.0,0,2,1
KAUSHAMBI,MURATGANJ,0.0,0,3,0
KAUSHAMBI,NEWADA,0.0,0,2,0
KAUSHAMBI,SARSAWAN,20.6,0,3,0
KAUSHAMBI,SIRATHU,18.5,0,5,2
KHERI,BANKEGANJ,22.6,0,3,0
KHERI,BEHJAM,0.0,0,1,0
KHERI,BIJUA,0.0,0,2,0
KHERI,DHAURAHARA,38.9,0,2,0
KHERI,ISANAGAR,0.0,0,5,0
KHERI,KUMBHI-GOLA,0.0,0,5,0
KHERI,LAKHIMPUR,83.5,0,0,0
KHERI,LMP,115.8,0,0,1
KHERI,MITAULI,0.0,0,4,0
