District,Block,School_ID,School_Name,Overall_Growth_pct,Boys_Growth_pct,Girls_Growth_pct,C8_Change_pct,C9_Change_pct,C10_Change_pct,C11_Change_pct,C12_Change_pct,Gender_Driver,Class_Driver,Growth_Pattern_Tag,Model_School_Flag
BALLIA,MURLI CHHAPRA,9631701403,RAJKIYA U.M.V TOLA FATEH RAI BALLIA,40.85,69.44,11.43,,51.43,30.56,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
ETAH,SHEETAL PUR,9171300114,PANDIT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEGE JIRSIMI ETAH,40.82,11.76,80.65,173.91,-2.33,-4.0,90.91,112.2,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
BALLIA,CHILKAHAR,9630404605,RAJKIY U M V BACHAIPUR,40.57,30.0,50.0,,128.12,2.7,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SHRAWASTI,SIRSIYA,9510607704,RAJKIYA HIGH SCHOOL BANTIHWA,40.48,63.38,10.91,,18.42,74.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
BHADOI,BHADOHI,9710114304,GOVT. HIGH SCHOOL BHAGWANPUR KANEHARI,40.26,26.67,59.38,,60.61,25.0,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MORADABAD,KUNDERKI,9040706403,GOVT.HIGH SCHOOL NAGALIYA MASHKULA,39.81,42.42,38.57,,33.93,46.81,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
PRAYAGRAJ,BAHARIYA,9451904506,PT D.D.U.G.M.INTER COLLEGE,39.74,21.25,46.26,36.36,77.27,9.68,19.3,55.32,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
KHERI,ISANAGAR,9230402906,Govt.H.S lakhun,39.61,48.72,30.26,,163.33,-39.36,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
KAUSHAMBI,SIRATHU,9440307709,RAJKIYA BALIKA HIGH SCHOOL KASIYA,39.44,58.7,30.21,,20.0,64.52,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
VARANASI,BARAGAON,9670208203,GOVT. HIGH SCHOOL HASANPUR,39.42,45.1,33.96,,83.67,0.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
CHANDAULI,NAUGARH,9660904504,GHS SONWAR,39.13,33.33,43.4,,40.0,37.84,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
ALIGARH,KHAIR,9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,38.92,44.44,32.47,-6.67,66.67,-22.97,733.33,76.19,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
KANSHIRAM NAGAR,SORON,9721501608,GOVERNMENT HIGHSCHOOL NAMAINI KASGANJ,38.89,3.7,91.67,,41.86,36.17,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
KHERI,PALIYA,9231101303,GOVT. H.S. VISHEN PURI,38.81,50.75,26.87,,37.14,40.62,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
HARDOI,TANDIYAWA,9250904004,PT DEEN DAYAL UPADHAYAY RAJKIYA MODEL INTER COLLEGE SIKROHARI,38.63,31.21,50.0,65.38,49.09,25.97,80.77,10.2,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
ETAH,AWAGARH,9170305106,PANDIT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEGE ISAULI ETAH,38.51,38.04,39.02,-7.41,28.3,10.0,266.67,72.73,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
BAREILLY,BHADPURA,9200605803,PT DEENDYAL UPADHYAY RAJKIYA MODEL INTER COLLEGE ALAHIYA BHADPURA NAWABGANJ BAREILLY,38.3,57.63,18.8,63.16,8.97,32.2,42.22,97.06,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
KHERI,PALIYA,9231106503,GOV.H.S.S TIKONA FORM,38.16,47.17,17.39,,18.37,74.07,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
BAHRAICH,JARWAL,9500108805,GOVT H S MUSTAFA BAD JARWAL,38.04,38.24,37.93,,41.67,34.09,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
MIRZAPUR,PAHARI,9690404704,GOVT. HIGH SCHOOL TOSAWAN,38.01,18.09,62.34,,43.96,31.25,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SAHARANPUR,NAGAL,9011103706,GOVT. HIGH SCHOOL KUTUBPUR LABDOLA,37.5,27.08,47.92,,87.5,1.79,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BAHRAICH,NAWAB GANJ,9501204707,GOVT INTER COLLEGE LAKHAIYA KALAN,37.31,39.08,34.62,160.0,35.03,4.8,30.99,153.85,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
MAHOBA,PANWARI,9390402307,PANDIT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEGE KANKUA,37.05,38.93,35.0,,58.62,9.57,50.0,51.11,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
KHERI,DHAURAHARA,9230305601,Govt. Girls.H.S.ADLISHPUR,36.88,26.92,55.36,,96.83,-2.06,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
